////////////////////////////////////////////////////////////////////////////////
//	[ Text  Version ]	0.0.7.8
//	[ 최종 작업자 ]	사재일
//	[ 최종 작업일 ]	2015-08-11-04:53 PM
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가
////////////////////////////////////////////////////////////////////////////////
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것


//Index	Viewport index	Item type	Item Index	Name	Type	알림	Clear type	설명	버프값 출력
0	//버프 효과
73	40	255	255	"Blind"	1	1	1	"Giảm tầm nhìn và độ chính xác"	0
74	41	255	255	"Requiem"	1	1	1	"Summoner Neil attack"	0
75	42	255	255	"Explosion"	1	1	1	"Summoner Shamut attack"	0
76	43	255	255	"Weakness"	1	1	1	"Giảm sức tấn công"	0
77	43	255	255	"Innovation"	1	1	1	"Giảm phòng thủ"	0
78	246	14	85	"[Boost] Cherry Blossom Wine"	0	0	1	"MP +700"	0
79	246	14	86	"[Boost] Cherry Blossom Rice Cake"	0	0	1	"HP +700"	0
80	247	14	87	"[Reinforce] Cherry Blossom Flower Petal"	0	0	1	"Sát thương +40"	0
81	288	255	255	"Berserker"	0	1	1	"Tăng tốc độ đánh và phép thuật/nhưng giảm phòng thủ và HP"	0
82	45	255	255	"Expansion of Wizardry"	0	1	1	"Tăng sát thương phép tối thiểu"	0
83	46	255	255	"Flame Strike"	1	1	1	""	0
84	47	255	255	"Gigantic Storm"	1	1	1	""	0
85	48	255	255	"Lightning Shock"	1	1	1	""	0
86	49	255	255	"Cold"	1	1	1	"Detrimental cold reduces /the mobility speed."	0
87	13	13	62	"Seal of Healing"	2	0	1	"Tăng 50% EXP/Tăng 5% tốc độ hồi phục HP"	0
88	13	13	63	"Seal of Divinity"	2	0	1	"Tăng 150% tỉ lệ rớt đồ/Tăng 5% tốc độ hồi phục Mana"	0
89	73	14	97	"Scroll of Battle"	2	1	1	"Tăng 20% sát thương chí mạng"	0
90	74	14	98	"Scroll of Strength"	2	1	1	"Tăng 20% sát thương hoàn hảo"	0
91	23	255	255	"Blessing of Christmas"	0	1	1	"Tăng sát thương, nguyền rủa và phòng thủ"	0
92	23	255	255	"Santa Healing"	0	1	1	"HP +500"	0
93	23	255	255	"Santa Protection"	0	1	1	"Mana +500"	0
94	23	255	255	"Santa Strengthener"	0	1	1	"Sát thương +30"	0
95	23	255	255	"Santa Defense"	0	1	1	"Phòng thủ +100"	0
96	23	255	255	"Santa Quickness"	0	1	1	"Tốc độ đánh +15"	0
97	23	255	255	"Santa Fortune"	0	1	1	"Tốc độ hồi phục AG +10"	0
98	50	255	255	"Watch"	0	0	1	"Xem trạn đấu ở đấu trường"	0
99	52	13	81	"Talisman of Protection"	2	0	1	"Không bị phạt khi chết/Không thể nhận hiệu ứng này khi bạn đã giết người khác"	0
100	53	13	82	"Talisman of Item Protection"	2	0	1	"Không giảm độ bền vật phẩm"	0
101	60	13	93	"Master Seal of Ascension"	2	0	1	"Tăng 50% EXP Master"	0
102	61	13	94	"Master Seal of Wealth"	2	0	1	"Tăng 100% EXP Master/Tỉ lệ rớt đồ tăng 150%"	0
103	51	13	95	"Gladiator's Honor"	0	0	1	"Tăng 20% EXP/Tăng tỉ lệ rớt đồ quý/Chỉ dùng tại Vulcanus"	0
104	21	13	96	"Seal of Strength"	0	0	1	"Tăng né tránh và độ chính xác"	0
105	54	255	255	"Ascension"	0	0	1	""	0
106	55	63	254	"PK Penalty"	1	0	1	"Không thể dịch chuyển bản đồ trong 5 phút"	0
107	56	255	255	"You feel tired."	1	0	1	"Tăng 50% EXP/Tăng 50% tỉ lệ rớt đồ"	0
108	56	255	255	"You feel exhausted."	1	0	1	"Tăng 50% EXP"	0
112	24	13	103	"Party EXP Bonus Item"	2	1	1	"Tăng tối đa 30% EXP, tùy thuộc vào số người trong nhóm"	0
113	58	13	104	"Max AG Boost Aura"	2	1	1	"Tăng AG tối đa"	0
114	58	13	105	"Max SD Boost Aura"	2	1	1	"Tăng SD tối đa"	0
115	56	13	117	"Minimum Vitality"	2	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
116	56	13	118	"Low Vitality"	2	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
117	56	13	119	"Medium Vitality"	2	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
118	56	13	120	"High Vitality"	2	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
119	61	13	116	"Seal of Wealth"	2	0	1	"Tăng 150% tỉ lệ rớt đồ"	0
120	59	255	255	"Punishment for Illicit Software Use"	1	0	1	"50% EXP Gain /0% Item Drop Rate"	0
121	75	14	140	"Scroll of Healing"	2	1	1	"+3% HP Regen/+100 HP"	0
122	76	13	128	"Hawk Figurine"	2	1	1	"Tăng sát thương chí mạng +10%"	0
123	76	13	129	"Goat Figurine"	2	1	1	"Tăng sát thương hoàn hảo +10%"	0
124	77	13	130	"Oak Charm"	2	1	1	"HP +50"	0
125	77	13	131	"Maple Charm"	2	1	1	"Mana +50"	0
126	77	13	132	"Golden Oak Charm"	2	1	1	"HP +150 / SD +500"	0
127	77	13	133	"Golden Maple Charm"	2	1	1	"Mana +150 / AG +50"	0
128	78	13	134	"Worn Horseshoe"	2	1	1	"Tăng tỉ lệ rớt đồ"	0
129	79	255	255	"Ignore Enemy's Defense"	0	1	1	"Tăng cơ hội bỏ qua phòng thủ của đối phương"	0
130	80	255	255	"Increase Health"	0	1	1	"Tăng VIT"	0
131	81	255	255	"Increase Defense Rate"	0	1	1	"Tăng né tránh"	0
132	82	255	255	"Defense success rate decrease"	1	0	1	"Tăng né tránh"	0
133	83	255	255	"Invincibility"	0	1	1	"Bất tử"	0
134	84	255	255	"Iron Defense"	0	1	1	"Tăng đáng kể phòng thủ và HP"	0
135	8	255	255	"Swell Life"	0	1	1	"Tăng HP và Mana"	0
136	8	255	255	"Swell Life"	0	1	1	"Tăng HP, Mana và AG"	0
137	85	255	255	"Bleeding"	1	1	1	"Liên tục giảm HP"	0
138	45	255	255	"Expansion of Wizardry"	0	1	1	"Tăng sát thương phép tối thiểu và tối đa"	0
139	45	255	255	"Expansion of Wizardry"	0	1	1	"Tăng sát thương phép tối thiểu, tối đa/và tỉ lệ sát thương chí mạng"	0
140	4	255	255	"Soul Barrier"	0	1	1	"Dùng Mana để hấp thụ sát thương/và tăng Mana tối đa"	0
141	86	255	255	"Reduce attack speed"	1	1	1	"Giảm tốc độ đánh"	0
142	87	255	255	"Bless"	0	1	1	"Tăng toàn bộ chỉ số (C)"	0
143	6	255	255	"Infinity Arrow"	0	0	1	"Không tiêu thụ mũi tên/và tăng sát thương"	0
144	88	255	255	"Blind"	0	1	1	"Bạn bị mù, giảm độ chính xác"	0
145	89	255	255	"Vampiric"	1	1	1	"HP được rút mỗi giây/và chuyển đến mục tiêu"	0
146	90	255	255	"Freeze"	1	1	1	"Bất động khi bạn bị đóng băng"	0
147	91	255	255	"Earth Binds"	1	1	1	"Bị trói"	0
148	5	255	255	"Critical Damage increase"	0	1	1	"Tăng sát thương chí mạng/và tỉ lệ sát thương chí mạng"	0
149	5	255	255	"Critical Damage increase"	0	1	1	"Tăng sát thương chí mạng/tăng tỉ lệ sát thương chí mạng và hoàn hảo"	0
150	288	255	255	"Berserker"	0	1	1	"Tăng sát thương, tốc độ đánh/giảm phòng thủ và HP"	0
151	288	255	255	"Berserker"	0	1	1	"unused"	0
152	288	255	255	"Berserker"	0	1	1	"Tăng sát thương phép và tốc độ đánh"	0
153	81	255	255	"Increase Defense Success Rate"	0	1	1	"Tăng né tránh"	0
154	81	255	255	"Increase Defense Success Rate"	0	1	1	"Tăng phòng thủ và né tránh"	0
155	80	255	255	"Increase HP"	0	1	1	"Tăng HP"	0
156	79	255	255	"Ignore Enemy's Defense"	0	1	1	"Tăng tỉ lệ bỏ qua phòng thủ"	0
157	92	255	255	"Fire"	1	1	1	"HP is reduced for every second of fire damage."	0
158	93	255	255	"Frost"	1	1	1	"HP is reduced for every second of frost damage."	0
159	94	255	255	"Poison"	1	1	1	"HP is reduced for every second of poison damage."	0
160	94	255	255	"Poison"	1	1	1	"HP is reduced for every second of poison damage."	0
161	87	255	255	"Bless"	0	1	1	"Tăng %d tất cả điểm tiềm năng (C)"	0
162	43	255	255	"Weaken"	1	1	1	"Giảm độ chính xác"	0
163	44	255	255	"Innovate"	1	1	1	"Giảm né tránh"	0
164	30	255	255	"Decrease Defensibility"	1	1	1	"Giảm phòng thủ"	0
165	84	255	255	"Iron Defense"	0	1	1	"Tăng đáng kể né tránh và HP"	0
166	95	255	255	"Blood Howl"	0	1	1	"HP giảm mỗi giây"	0
167	95	255	255	"Blood Howl"	0	1	1	"HP giảm mỗi giây"	0
//168	79	255	255	"Ignore Enemy's Defense"	0	1	1	"Increases the chance of ignoring Enemy Armor. If successful, this decreases the enemy's defense and defense success rate with a fixed probability."	0
169	96	255	255	"Penetrate Armor"	1	1	1	"Giảm phòng thủ và né tránh"	0
170	109	14	172	"Magic Backpack1"	0	1	1	"Magic Backpack1"	0
171	110	14	173	"Magic Backpack2"	0	1	1	"Magic Backpack2"	0
172	111	14	174	"Magic Backpack3"	0	1	1	"Magic Backpack3"	0
173	112	14	175	"Magic Backpack4"	0	1	1	"Magic Backpack4"	0
174	98	255	255	"Fire"	1	0	1	"Total amount of SD is reduced to half."	0
175	99	255	255	"Frost"	1	0	1	"Total amount of MP is reduced to half."	0
176	100	255	255	"Tornado"	1	0	1	"Attack speed is reduced to half."	0
177	101	255	255	"Bind"	1	0	1	"Total amount of HP is reduced to half."	0
178	102	255	255	"Darkness"	1	0	1	"You can't do anything while you're stunned."	0
179	103	255	255	"Fire Tower"	0	0	1	"Sát thương +25, EXP+20%/khi trang bị sách lửa, tăng 5% sát thương và phòng thủ/Tăng tỉ lệ rớt đồ thần ở Acheron (trừ Debenter)"	0
180	104	255	255	"Water Tower"	0	0	1	"Phòng thủ +50, EXP+20%/khi trang bị sách nước, tăng 5% sát thương và phòng thủ/Tăng tỉ lệ rớt đồ thần ở Acheron (trừ Debenter)"	0
181	105	255	255	"Earth Tower"	0	0	1	"Chí mạng +5%, EXP+20%/khi trang bị sách đất, tăng 5% sát thương và phòng thủ/Tăng tỉ lệ rớt đồ thần ở Acheron (trừ Debenter)"	0
182	106	255	255	"Wind Tower"	0	0	1	"Sát thương +30, EXP+20%/khi trang bị sách gió, tăng 5% sát thương và phòng thủ/Tăng tỉ lệ rớt đồ thần ở Acheron (trừ Debenter)"	0
183	107	255	255	"Darkness Tower"	0	0	1	"Sát thương nhận vào -10%, EXP+20%/khi trang bị sách bóng tối, tăng 5% sát thương và phòng thủ/Tăng tỉ lệ rớt đồ thần ở Acheron (trừ Debenter)"	0
184	108	255	255	"Resurrection Penalty"	1	0	1	"Tốc độ di chuyển giảm/trong một khoảng thời gian nhất định"	0
185	97	14	163	"Vault Expansion"	0	1	1	"Vault Expansion"	0
186	109	255	255	"Confusion"	1	0	1	"Tốc độ di chuyển giảm khi bị trúng đòn này"	0
187	255	255	255	"EXP Rewards"	1	0	1	"EXP increase by 20%/ possible set item drops."	0
//188	113	14	204	"Helper extension function"	0	0	1	"At level 1, the helper system is enabled and / Acquisition Settings tab is available, and / Hunting range is increased to 8."	0
//189	114	14	205	"Growth support function"	0	0	1	"The helper system allows you to cast various buffs and skills in a state that has no party with other characters."	0
190	115	13	177	"Talisman of Ascension I"	2	0	1	"Tăng thêm 50% EXP"	0
191	115	13	178	"Talisman of Ascension II"	2	0	1	"Tăng thêm 100% EXP"	0
192	115	13	179	"Talisman of Ascension III"	2	0	1	"Tăng thêm 200% EXP"	0
193	60	13	180	"Seal of Ascension II"	2	0	1	"Tăng thêm 100% EXP"	0
194	60	13	181	"Seal of Ascension II"	2	0	1	"Tăng thêm 100% EXP (Master)"	0
195	116	14	224	"Bless of Light (Greater)"	0	0	1	"Tăng thêm 200% EXP"	0
196	68	14	225	"Scroll Master of Defense"	2	1	1	"Phòng thủ +120"	0
197	70	14	226	"Scroll Master of Wizardry"	2	1	1	"Sát thương phép +60"	0
198	71	14	227	"Scroll Master of Health"	2	1	1	"HP +400"	0
199	72	14	228	"Scroll Master of Mana"	2	1	1	"MP +600"	0
200	69	14	229	"Bùa thịnh nộ Master"	2	1	1	"Sát thương vật lý +60"	0
201	75	14	230	"Scroll Master of Recovery"	2	1	1	"Tự động hồi HP +4%, HP +200"	0
202	14	14	231	"Scroll Master of Battle"	2	1	1	"Sát thương chí mạng +25%"	0
203	14	14	232	"Scroll Master of Strenghtener"	2	1	1	"Sát thương hoàn hảo +25%"	0
204	67	14	235	"Scroll Master of Quickness"	2	1	1	"Tốc độ đánh +20"	0
205	117	13	2	"Horn of Uniria"	0	1	1	"Summons Uniria to mount."	0
206	117	13	3	"Horn of Dinorant"	0	1	1	"Summons Dinorant to mount."	0
207	117	13	4	"Horn of Dark Horse"	0	1	1	"Summons Dark Horse to mount."	0
208	117	13	37	"Horn of Fenrir"	0	1	1	"Summons Fenrir to mount."	0
209	118	255	255	"Paralyze"	1	1	1	"Giảm 50% tốc độ chạy của bạn/bằng cách làm tê liệt chân của bạn."	0
210	118	255	255	"Paralyze"	1	1	1	"Giảm 50% tốc độ chạy của bạn/bằng cách làm tê liệt chân của bạn/và tiếp tục gây thêm sát thương"	0
211	119	255	255	"Internet Cafe"	2	0	1	"Extra XP/Chaos Castle in PC Cafe/Access to Kalima/Accum. Gob. Pts."	0
212	116	14	263	"Bless of Light (Low Grade)"	0	0	1	"Tăng thêm 50% EXP"	0
213	116	14	264	"Bless of Light (Middle Grade)"	0	0	1	"Tăng thêm 100% EXP"	0
214	120	255	255	"Evasion"	0	1	1	"Tăng tỉ lệ né đòn/và làm bạn miễn nhiễm với các hiệu ứng trói chân"	0
215	119	255	255	"Internet Cafe"	2	0	1	"Extra XP/Chaos Castle in PC Cafe/Acesss to Kalima/Accum. Gob. Pts./Stam. Sys. Disabled"	0
216	121	255	255	"Circle Shield"	0	1	1	"Có cơ hội giảm 10 AG của đối phương"	0
217	122	255	255	"Obsidian"	0	1	1	"Tăng sát thương kĩ năng cho bạn và nhóm"	1
218	123	255	255	"Wrath"	0	1	1	"Giảm 30% phòng thủ, tăng 50% sát thương"	0
219	124	255	255	"Burst"	0	1	1	"Tăng tỉ lệ sát thương chuẩn"	0
220	122	255	255	"Obsidian PowUp"	0	1	1	"Tăng sát thương kĩ năng cho bạn và nhóm"	1
221	121	255	255	"Circle Shield PowUp"	0	1	1	"Có cơ hội tăng hiệu ứng giảm AG thêm %d khi đánh"	1
222	121	255	255	"Circle Shield Mastery"	0	1	1	"Có cơ hội tăng hiệu ứng giảm AG thêm %d khi đánh"	1
223	123	255	255	"Wrath PowUp"	0	1	1	"Giảm 30% phòng thủ, tăng 50% sát thương"	0
224	123	255	255	"Wrath Proficiency"	0	1	1	"Giảm 30% phòng thủ, tăng 50% sát thương"	0
225	123	255	255	"Wrath Mastery"	0	1	1	"Tăng 50% sát thương"	0
226	226	255	255	"Burst PowUp"	0	1	1	"Tăng tỉ lệ sát thương chuẩn"	0
227	125	255	255	"Awakening Success Effect"	0	0	1	"This is Evomon Awakening Success Effect."	0
228	126	255	255	"Awakening Failure Effect"	0	0	1	"This is Evomon Awakening Failure Effect"	0
229	227	255	255	"Berserker"	0	1	1	"Tăng sát thương"	0
230	228	255	255	"Clone"	0	1	1	"Triệu hồi một bản sao"	0
231	229	255	255	"Spin"	1	1	1	"Quay mục tiêu"	0
232	230	13	5	"Dark Raven"	0	0	1	"Triệu hồi quạ tinh"	0
//233	231	14	322	" "	0	0	1	" "	0
//234	232	14	323	" "	0	0	1	" "	0
//235	233	14	324	" "	0	0	1	" "	0
//236	234	14	325	" "	0	0	1	" "	0
237	115	13	476	"[PC room] The talisman of rise I"	2	0	1	"PC room only items, 50% of the basic experience to acquire additional."	0
238	235	255	255	"Bastion"	0	1	1	"Sát thương thuộc tính -90%."	0
239	236	255	255	"Hemorrhage"	1	1	1	"Sát thương chảy máu mỗi giây"	0
240	237	255	255	"Paralysis"	1	1	1	"Tốc độ chạy và tốc độ hồi phục bị giảm/(giảm hiệu quả của bình HP,Mana..)"	0
241	238	255	255	"Bondage"	1	1	1	"Không thể di chuyển"	0
242	239	255	255	"Blindness"	1	1	1	"Làm mù mục tiêu và giảm độ chính xác %d%"	1
243	240	255	255	"Immune I"	0	1	1	"Miễn nhiễm với sát thương thuộc tính"	0
244	240	255	255	"Immune II"	0	1	1	"Miễn nhiễm với các loại debuff"	0
245	241	255	255	"Widened I"	0	1	1	"Tạm thời tăng đáng kể sát thương thuộc tính/và độ chính xác (thuộc tính)"	0
246	242	255	255	"Archangel's will"	0	1	1	"Tăng sát thương và sát thương kỹ năng"	0
247	243	255	255	"Ferea Party EXP buff"	0	1	1	"Tăng 10% EXP/Tăng 5% với mỗi thành viên trong nhóm"	0
248	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 1: 5%"	0
249	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 2: 10%"	0
250	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 3: 15%"	0
251	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 4: 25%"	0
252	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 5: 35%"	0
253	116	14	371	"Bless of Light (Greater)"	0	0	1	"Tăng 200% EXP"	0
254	116	14	372	"Bless of Light (Middle Grade)"	0	0	1	"Tăng 100% EXP"	0
255	116	14	373	"Bless of Light (Low Grade)"	0	0	1	"Tăng 50% EXP"	0
256	246	14	432	"[Boost] Arcanum of Health"	0	0	1	"HP +700"	0
257	246	14	433	"[Boost] Arcanum of Mana"	0	0	1	"MP +700"	0
258	246	14	434	"[Boost] Arcanum of Speed"	0	0	1	"Tốc độ đánh +10"	0
259	247	14	435	"[Reinforce] Arcanum of Wrath"	0	0	1	"Sát thương vật lý +40"	0
260	247	14	436	"[Reinforce] Arcanum of Wizardry"	0	0	1	"Sát thương phép/nguyền rủa +40"	0
261	247	14	437	"[Reinforce] Arcanum of Defense"	0	0	1	"Phòng thủ +100"	0
262	247	14	438	"[Reinforce] Arcanum of Battle"	0	0	1	"Sát thương chí mạng +85"	0
263	247	14	439	"[Reinforce] Arcanum of Strength"	0	0	1	"Sát thương hoàn hảo +85"	0
264	256	255	255	"Enhance Greater Fortitude HP Boost Effect"	0	0	1	"Enhance Greater Fortitude HP Boost Effect"	0
265	257	255	255	"Increase Soul Barrier DMG Reduction"	0	0	1	"Increase Soul Barrier DMG Reduction"	0
266	258	255	255	"Enhance Berserker DMG Increase"	0	0	1	"Enhance Berserker DMG Increase"	0
267	259	255	255	"Remove Berserker DEF Reduction Effect"	0	0	1	"Remove Berserker DEF Reduction Effect"	0
268	260	255	255	"Enhance Health Boost Skill Effect"	0	0	1	"Enhance Health Boost Skill Effect"	0
269	261	255	255	"Enhance Wrath"	0	0	1	"Enhance Wrath"	0
270	262	255	255	"Decrease Wrath DEF Reduction Effect"	0	0	1	"Decrease Wrath DEF Reduction Effect"	0
271	263	255	255	"Decrease SD Ratio"	0	0	1	"Giảm tỉ lệ SD"	0
272	264	255	255	"Increase SD"	0	0	1	"Tăng SD"	0
273	265	255	255	"Poisoning"	1	0	1	"Poisoning"	0
274	266	255	255	"Chilling"	1	0	1	"Chilling"	0
275	267	255	255	"Bleeding"	1	0	1	"Bleeding"	0
276	268	255	255	"Shock"	1	0	1	"Shock"	0
277	269	255	255	"Deadly Poison"	1	0	1	"Deadly Poison"	0
278	270	255	255	"Freezing"	1	0	1	"Freezing"	0
279	271	255	255	"Hemorrhage"	1	0	1	"Hemorrhage"	0
280	272	255	255	"Stun"	1	0	1	"Stun"	0
281	273	255	255	"Increase SD Reduction"	0	0	1	"Tăng hiệu ứng giảm SD"	0
282	274	255	255	"Increase Max HP"	0	0	1	"Tăng HP"	0
283	275	255	255	"Fourth Stats"	0	0	1	"Fourth Stats"	0
284	276	255	255	"Increase Basic DEF"	0	0	1	"Tăng phòng thủ cơ bản"	0
285	277	255	255	"Increase Fourth Wings DMG"	0	0	1	"Increase Fourth Wings DMG"	0
286	278	255	255	"Increase DMG"	0	0	1	"Increase DMG"	0
287	279	255	255	"Increase Magic"	0	0	1	"Increase Magic"	0
288	280	255	255	"Fourth Stats"	0	0	1	"Fourth Stats"	0
289	281	255	255	"Increase Skill DMG"	0	0	1	"Tăng sát thương kĩ năng"	0
290	282	255	255	"Increase Fourth Wings DMG"	0	0	1	"Increase Fourth Wings DMG"	0
291	283	255	255	"Increase DMG / Magic"	0	0	1	"Increase DMG / Magic"	0
292	284	14	453	"Switch Scroll"	2	0	1	"Nhấn CTRL+F để giảm tiêu hao CPU máy tính"	0
293	285	255	255	"Burst"	0	1	1	"Tăng sát thương kĩ năng và tiêu hao Mana"	0
294	286	255	255	"Haste"	0	1	1	"Tăng tốc độ đánh và tiêu hao AG"	0
295	285	255	255	"Burst Strengthener"	0	1	1	"Tăng sát thương kĩ năng và tiêu hao Mana"	0
